"taskId","length","completionTime","executingTime","waitTime","taskPriority","vmId","vmCapacity","vmLoadAtExecution"
194,850,0.21,0.21,0,1,1,4000,2850
143,950,0.19,0.19,0,5,2,5000,3300
141,150,0.04,0.04,0,3,3,4000,2150
4,350,0.12,0.12,0,1,4,3000,1900
169,750,0.25,0.25,0,4,5,3000,1950
188,650,0.33,0.33,0,2,6,2000,1600
181,450,0.23,0.23,0,2,7,2000,1350
8,850,0.85,0.85,0,10,8,1000,850
185,650,0.22,0.22,0,2,9,3000,2050
54,150,0.03,0.03,0,1,10,5000,2850
11,550,0.18,0.18,0,2,11,3000,2050
165,350,0.17,0.17,0,7,12,2000,1100
160,250,0.08,0.08,0,2,13,3000,2100
112,950,0.47,0.47,0,3,14,2000,1400
170,650,0.33,0.33,0,1,15,2000,1450
189,650,0.33,0.33,0,5,16,2000,1600
135,250,0.06,0.06,0,3,17,4000,2400
18,250,0.05,0.05,0,4,18,5000,2850
130,250,0.08,0.08,0,7,19,3000,1750
76,250,0.06,0.06,0,4,20,4000,2400
121,50,0.01,0.01,0,2,21,4000,2350
58,650,0.13,0.13,0,4,22,5000,2750
187,250,0.05,0.05,0,2,23,5000,3050
24,850,0.28,0.28,0,3,24,3000,1950
25,650,0.16,0.16,0,1,25,4000,2400
26,50,0.03,0.03,0,5,26,2000,1250
27,550,0.28,0.28,0,1,27,2000,1100
113,950,0.47,0.47,0,7,28,2000,1400
146,50,0.03,0.03,0,3,29,2000,1450
197,450,0.11,0.11,0,1,30,4000,2500
168,950,0.24,0.24,0,2,31,4000,2500
52,850,0.17,0.17,0,3,32,5000,2850
98,250,0.05,0.05,0,1,33,5000,2950
34,650,0.65,0.65,0,2,34,1000,650
35,50,0.03,0.03,0,6,35,2000,1950
173,750,0.25,0.25,0,3,36,3000,1950
155,350,0.07,0.07,0,1,37,5000,2850
200,850,0.21,0.21,0,3,38,4000,2950
39,950,0.95,0.95,0,2,39,1000,950
40,650,0.65,0.65,0,6,40,1000,650
101,650,0.33,0.33,0,1,41,2000,1050
96,50,0.01,0.01,0,4,42,4000,2450
88,50,0.01,0.01,0,1,43,4000,2500
44,950,0.32,0.32,0,6,44,3000,1900
74,350,0.09,0.09,0,3,45,4000,2300
190,850,0.17,0.17,0,5,46,5000,3250
47,450,0.45,0.45,0,5,47,1000,600
48,150,0.03,0.03,0,1,48,5000,3050
49,350,0.35,0.35,0,4,49,1000,700
50,350,0.09,0.09,0,7,50,4000,2300
1,250,0.28,0.06,0.21,4,1,4000,2000
128,150,0.22,0.03,0.19,6,2,5000,2350
85,250,0.1,0.06,0.04,7,3,4000,2000
75,550,0.3,0.18,0.12,1,4,3000,1550
5,550,0.43,0.18,0.25,7,5,3000,1200
6,950,0.8,0.47,0.33,3,6,2000,950
7,550,0.5,0.28,0.23,4,7,2000,900
9,550,0.4,0.18,0.22,7,9,3000,1400
61,850,0.2,0.17,0.03,1,10,5000,2700
159,950,0.5,0.32,0.18,6,11,3000,1500
12,750,0.55,0.38,0.17,9,12,2000,750
119,350,0.2,0.12,0.08,5,13,3000,1850
14,450,0.7,0.23,0.47,8,14,2000,450
15,650,0.65,0.33,0.33,2,15,2000,800
16,950,0.8,0.47,0.33,9,16,2000,950
157,950,0.3,0.24,0.06,3,17,4000,2150
105,650,0.18,0.13,0.05,5,18,5000,2600
53,350,0.2,0.12,0.08,8,19,3000,1500
184,550,0.2,0.14,0.06,4,20,4000,2150
65,250,0.07,0.06,0.01,3,21,4000,2300
87,750,0.28,0.15,0.13,6,22,5000,2100
69,950,0.24,0.19,0.05,3,23,5000,2800
131,450,0.43,0.15,0.28,9,24,3000,1100
86,550,0.3,0.14,0.16,3,25,4000,1750
122,750,0.4,0.38,0.03,7,26,2000,1200
127,550,0.55,0.28,0.28,10,27,2000,550
28,450,0.7,0.23,0.47,9,28,2000,450
29,650,0.35,0.33,0.03,5,29,2000,1400
72,850,0.33,0.21,0.11,5,30,4000,2050
114,650,0.4,0.16,0.24,3,31,4000,1550
90,950,0.36,0.19,0.17,6,32,5000,2000
33,950,0.24,0.19,0.05,3,33,5000,2700
