"taskId","length","completionTime","executingTime","waitTime","taskPriority","vmId","vmCapacity","vmLoadAtExecution"
51,50,0.01,0.01,0,10,1,4000,1400
1,250,0.05,0.05,0,4,2,5000,3800
55,450,0.11,0.11,0,10,3,4000,2400
103,50,0.02,0.02,0,9,4,3000,1550
106,350,0.12,0.12,0,9,5,3000,2050
130,250,0.13,0.13,0,7,6,2000,700
132,50,0.03,0.03,0,4,7,2000,1000
154,150,0.15,0.15,0,7,8,1000,150
109,750,0.25,0.25,0,10,9,3000,1250
6,950,0.19,0.19,0,3,10,5000,6700
112,950,0.32,0.32,0,3,11,3000,2550
134,250,0.13,0.13,0,5,12,2000,500
115,250,0.08,0.08,0,10,13,3000,750
136,850,0.42,0.42,0,7,14,2000,1600
138,150,0.07,0.07,0,9,15,2000,400
140,50,0.03,0.03,0,8,16,2000,200
59,350,0.09,0.09,0,10,17,4000,1900
11,550,0.11,0.11,0,2,18,5000,7000
118,450,0.15,0.15,0,7,19,3000,1650
63,250,0.06,0.06,0,10,20,4000,1400
67,650,0.16,0.16,0,10,21,4000,2500
16,950,0.19,0.19,0,9,22,5000,5500
21,250,0.05,0.05,0,9,23,5000,4700
121,50,0.02,0.02,0,2,24,3000,1750
71,50,0.01,0.01,0,7,25,4000,1500
142,950,0.47,0.47,0,8,26,2000,1900
144,750,0.38,0.38,0,9,27,2000,900
146,50,0.03,0.03,0,3,28,2000,800
148,350,0.17,0.17,0,7,29,2000,1100
75,550,0.14,0.14,0,1,30,4000,1500
79,750,0.19,0.19,0,1,31,4000,1900
26,50,0.01,0.01,0,5,32,5000,4600
31,550,0.11,0.11,0,9,33,5000,5400
155,350,0.35,0.35,0,1,34,1000,350
150,150,0.07,0.07,0,6,35,2000,900
124,950,0.32,0.32,0,4,36,3000,1650
36,250,0.05,0.05,0,9,37,5000,6300
83,450,0.11,0.11,0,9,38,4000,1300
156,350,0.35,0.35,0,7,39,1000,350
157,950,0.95,0.95,0,3,40,1000,950
152,950,0.47,0.47,0,8,41,2000,1700
87,750,0.19,0.19,0,6,42,4000,2000
91,650,0.16,0.16,0,9,43,4000,2300
127,550,0.18,0.18,0,10,44,3000,750
95,450,0.11,0.11,0,9,45,4000,800
41,50,0.01,0.01,0,10,46,5000,3500
158,650,0.65,0.65,0,7,47,1000,650
46,250,0.05,0.05,0,6,48,5000,1550
159,950,0.95,0.95,0,6,49,1000,950
99,50,0.01,0.01,0,3,50,4000,1500
52,850,0.23,0.21,0.01,3,1,4000,1350
2,650,0.18,0.13,0.05,8,2,5000,3550
56,950,0.35,0.24,0.11,8,3,4000,1950
104,850,0.3,0.28,0.02,8,4,3000,1500
107,850,0.4,0.28,0.12,7,5,3000,1700
131,450,0.35,0.23,0.13,9,6,2000,450
133,950,0.5,0.47,0.03,4,7,2000,950
110,150,0.3,0.05,0.25,10,9,3000,500
7,550,0.3,0.11,0.19,4,10,5000,5750
113,950,0.63,0.32,0.32,7,11,3000,1600
135,250,0.25,0.13,0.13,3,12,2000,250
116,50,0.1,0.02,0.08,8,13,3000,500
137,750,0.8,0.38,0.42,10,14,2000,750
139,250,0.2,0.13,0.07,9,15,2000,250
141,150,0.1,0.07,0.03,3,16,2000,150
60,250,0.15,0.06,0.09,4,17,4000,1550
12,750,0.26,0.15,0.11,9,18,5000,6450
119,350,0.27,0.12,0.15,5,19,3000,1200
64,650,0.23,0.16,0.06,6,20,4000,1150
68,650,0.33,0.16,0.16,9,21,4000,1850
17,850,0.36,0.17,0.19,5,22,5000,4550
22,150,0.08,0.03,0.05,8,23,5000,4450
122,750,0.27,0.25,0.02,7,24,3000,1700
72,850,0.23,0.21,0.01,5,25,4000,1450
143,950,0.95,0.47,0.47,5,26,2000,950
145,150,0.45,0.07,0.38,6,27,2000,150
147,750,0.4,0.38,0.03,9,28,2000,750
149,750,0.55,0.38,0.17,7,29,2000,750
76,250,0.2,0.06,0.14,4,30,4000,950
80,450,0.3,0.11,0.19,10,31,4000,1150
27,550,0.12,0.11,0.01,1,32,5000,4550
32,50,0.12,0.01,0.11,7,33,5000,4850
151,750,0.45,0.38,0.07,8,35,2000,750
125,350,0.43,0.12,0.32,7,36,3000,700
37,950,0.24,0.19,0.05,10,37,5000,6050
84,50,0.13,0.01,0.11,7,38,4000,850
153,750,0.85,0.38,0.47,10,41,2000,750
88,50,0.2,0.01,0.19,1,42,4000,1250
92,850,0.38,0.21,0.16,9,43,4000,1650
128,150,0.23,0.05,0.18,6,44,3000,200
96,50,0.13,0.01,0.11,4,45,4000,350
42,750,0.16,0.15,0.01,9,46,5000,3450
47,450,0.14,0.09,0.05,5,48,5000,1300
100,750,0.2,0.19,0.01,9,50,4000,1450
53,350,0.31,0.09,0.23,8,1,4000,500
3,650,0.31,0.13,0.18,9,2,5000,2900
57,350,0.44,0.09,0.35,10,3,4000,1000
105,650,0.52,0.22,0.3,5,4,3000,650
108,850,0.68,0.28,0.4,4,5,3000,850
111,350,0.42,0.12,0.3,10,9,3000,350
8,850,0.47,0.17,0.3,10,10,5000,5200
114,650,0.85,0.22,0.63,3,11,3000,650
117,450,0.25,0.15,0.1,5,13,3000,450
61,850,0.36,0.21,0.15,1,17,4000,1300
13,750,0.41,0.15,0.26,9,18,5000,5700
120,850,0.55,0.28,0.27,6,19,3000,850
65,250,0.29,0.06,0.23,3,20,4000,500
69,950,0.56,0.24,0.33,3,21,4000,1200
18,250,0.41,0.05,0.36,4,22,5000,3700
23,150,0.11,0.03,0.08,7,23,5000,4300
123,950,0.58,0.32,0.27,10,24,3000,950
73,250,0.29,0.06,0.23,5,25,4000,600
77,450,0.31,0.11,0.2,7,30,4000,700
81,350,0.39,0.09,0.3,10,31,4000,700
28,450,0.21,0.09,0.12,9,32,5000,4000
33,950,0.31,0.19,0.12,3,33,5000,4800
126,350,0.55,0.12,0.43,4,36,3000,350
38,750,0.39,0.15,0.24,7,37,5000,5100
85,250,0.19,0.06,0.13,7,38,4000,800
89,250,0.26,0.06,0.2,9,42,4000,1200
93,550,0.51,0.14,0.38,8,43,4000,800
129,50,0.25,0.02,0.23,10,44,3000,50
97,50,0.14,0.01,0.13,3,45,4000,300
43,450,0.25,0.09,0.16,9,46,5000,2700
48,150,0.17,0.03,0.14,1,48,5000,850
101,650,0.36,0.16,0.2,1,50,4000,700
54,150,0.35,0.04,0.31,1,1,4000,150
4,350,0.38,0.07,0.31,1,2,5000,2250
58,650,0.6,0.16,0.44,4,3,4000,650
9,550,0.58,0.11,0.47,7,10,5000,4350
62,450,0.47,0.11,0.36,6,17,4000,450
14,450,0.5,0.09,0.41,8,18,5000,4950
66,250,0.35,0.06,0.29,9,20,4000,250
70,250,0.63,0.06,0.56,6,21,4000,250
19,50,0.42,0.01,0.41,9,22,5000,3450
24,850,0.28,0.17,0.11,3,23,5000,4150
74,350,0.38,0.09,0.29,3,25,4000,350
78,250,0.38,0.06,0.31,9,30,4000,250
82,350,0.47,0.09,0.39,8,31,4000,350
29,650,0.34,0.13,0.21,5,32,5000,3550
34,650,0.44,0.13,0.31,2,33,5000,3850
39,950,0.58,0.19,0.39,2,37,5000,4350
86,550,0.33,0.14,0.19,3,38,4000,550
90,950,0.5,0.24,0.26,6,42,4000,950
94,250,0.57,0.06,0.51,9,43,4000,250
98,250,0.2,0.06,0.14,1,45,4000,250
44,950,0.44,0.19,0.25,6,46,5000,2250
49,350,0.24,0.07,0.17,4,48,5000,700
102,50,0.38,0.01,0.36,10,50,4000,50
5,550,0.49,0.11,0.38,7,2,5000,1900
10,50,0.59,0.01,0.58,5,10,5000,3800
15,650,0.63,0.13,0.5,2,18,5000,4500
20,450,0.51,0.09,0.42,8,22,5000,3400
25,650,0.41,0.13,0.28,1,23,5000,3300
30,450,0.43,0.09,0.34,9,32,5000,2900
35,50,0.45,0.01,0.44,6,33,5000,3200
40,650,0.71,0.13,0.58,6,37,5000,3400
45,450,0.53,0.09,0.44,5,46,5000,1300
50,350,0.31,0.07,0.24,7,48,5000,350
160,250,0.54,0.05,0.49,2,2,5000,1350
165,350,0.66,0.07,0.59,7,10,5000,3750
170,650,0.76,0.13,0.63,1,18,5000,3850
175,750,0.66,0.15,0.51,6,22,5000,2950
180,750,0.56,0.15,0.41,9,23,5000,2650
185,650,0.56,0.13,0.43,2,32,5000,2450
190,850,0.62,0.17,0.45,5,33,5000,3150
195,950,0.9,0.19,0.71,6,37,5000,2750
200,850,0.7,0.17,0.53,3,46,5000,850
161,650,0.67,0.13,0.54,8,2,5000,1100
166,950,0.85,0.19,0.66,3,10,5000,3400
171,850,0.93,0.17,0.76,9,18,5000,3200
176,750,0.81,0.15,0.66,1,22,5000,2200
181,450,0.65,0.09,0.56,2,23,5000,1900
186,250,0.61,0.05,0.56,8,32,5000,1800
191,650,0.75,0.13,0.62,4,33,5000,2300
196,750,1.05,0.15,0.9,8,37,5000,1800
162,50,0.68,0.01,0.67,8,2,5000,450
167,750,1,0.15,0.85,4,10,5000,2450
172,950,1.12,0.19,0.93,7,18,5000,2350
177,750,0.96,0.15,0.81,9,22,5000,1450
182,750,0.8,0.15,0.65,10,23,5000,1450
187,250,0.66,0.05,0.61,2,32,5000,1550
192,450,0.84,0.09,0.75,6,33,5000,1650
197,450,1.14,0.09,1.05,1,37,5000,1050
163,250,0.73,0.05,0.68,7,2,5000,400
168,950,1.19,0.19,1,2,10,5000,1700
173,750,1.27,0.15,1.12,3,18,5000,1400
178,50,0.97,0.01,0.96,5,22,5000,700
183,150,0.83,0.03,0.8,9,23,5000,700
188,650,0.79,0.13,0.66,2,32,5000,1300
193,350,0.91,0.07,0.84,8,33,5000,1200
198,150,1.17,0.03,1.14,6,37,5000,600
164,150,0.76,0.03,0.73,6,2,5000,150
169,750,1.34,0.15,1.19,4,10,5000,750
174,650,1.4,0.13,1.27,3,18,5000,650
179,650,1.1,0.13,0.97,10,22,5000,650
184,550,0.94,0.11,0.83,4,23,5000,550
189,650,0.92,0.13,0.79,5,32,5000,650
194,850,1.08,0.17,0.91,1,33,5000,850
199,450,1.26,0.09,1.17,7,37,5000,450
