"taskId","length","completionTime","executingTime","waitTime","taskPriority","vmId","vmCapacity","vmLoadAtExecution"
1,250,0.06,0.06,0,4,1,4000,2850
2,650,0.13,0.13,0,8,2,5000,3300
3,650,0.16,0.16,0,9,3,4000,2150
4,350,0.12,0.12,0,1,4,3000,1900
5,550,0.18,0.18,0,7,5,3000,1950
6,950,0.47,0.47,0,3,6,2000,1600
7,550,0.28,0.28,0,4,7,2000,1350
8,850,0.85,0.85,0,10,8,1000,850
9,550,0.18,0.18,0,7,9,3000,2050
10,50,0.01,0.01,0,5,10,5000,2850
11,550,0.18,0.18,0,2,11,3000,2050
12,750,0.38,0.38,0,9,12,2000,1100
13,750,0.25,0.25,0,9,13,3000,2100
14,450,0.23,0.23,0,8,14,2000,1400
15,650,0.33,0.33,0,2,15,2000,1450
16,950,0.47,0.47,0,9,16,2000,1600
17,850,0.21,0.21,0,5,17,4000,2400
18,250,0.05,0.05,0,4,18,5000,2850
19,50,0.02,0.02,0,9,19,3000,1750
20,450,0.11,0.11,0,8,20,4000,2400
21,250,0.06,0.06,0,9,21,4000,2350
22,150,0.03,0.03,0,8,22,5000,2750
23,150,0.03,0.03,0,7,23,5000,3050
24,850,0.28,0.28,0,3,24,3000,1950
25,650,0.16,0.16,0,1,25,4000,2400
26,50,0.03,0.03,0,5,26,2000,1250
27,550,0.28,0.28,0,1,27,2000,1100
28,450,0.23,0.23,0,9,28,2000,1400
29,650,0.33,0.33,0,5,29,2000,1450
30,450,0.11,0.11,0,9,30,4000,2500
31,550,0.14,0.14,0,9,31,4000,2500
32,50,0.01,0.01,0,7,32,5000,2850
33,950,0.19,0.19,0,3,33,5000,2950
34,650,0.65,0.65,0,2,34,1000,650
35,50,0.03,0.03,0,6,35,2000,1950
36,250,0.08,0.08,0,9,36,3000,1950
37,950,0.19,0.19,0,10,37,5000,2850
38,750,0.19,0.19,0,7,38,4000,2950
39,950,0.95,0.95,0,2,39,1000,950
40,650,0.65,0.65,0,6,40,1000,650
41,50,0.03,0.03,0,10,41,2000,1050
42,750,0.19,0.19,0,9,42,4000,2450
43,450,0.11,0.11,0,9,43,4000,2500
44,950,0.32,0.32,0,6,44,3000,1900
45,450,0.11,0.11,0,5,45,4000,2300
46,250,0.05,0.05,0,6,46,5000,3250
47,450,0.45,0.45,0,5,47,1000,600
48,150,0.03,0.03,0,1,48,5000,3050
49,350,0.35,0.35,0,4,49,1000,700
50,350,0.09,0.09,0,7,50,4000,2300
64,650,0.23,0.16,0.06,6,1,4000,2600
78,250,0.18,0.05,0.13,9,2,5000,2650
85,250,0.23,0.06,0.16,7,3,4000,1500
75,550,0.3,0.18,0.12,1,4,3000,1550
91,650,0.4,0.22,0.18,9,5,3000,1400
188,650,0.8,0.33,0.47,2,6,2000,650
126,350,0.45,0.17,0.28,4,7,2000,800
92,850,0.47,0.28,0.18,9,9,3000,1500
51,50,0.02,0.01,0.01,10,10,5000,2800
93,550,0.37,0.18,0.18,8,11,3000,1500
165,350,0.55,0.17,0.38,7,12,2000,350
119,350,0.37,0.12,0.25,5,13,3000,1350
112,950,0.7,0.47,0.23,3,14,2000,950
145,150,0.4,0.07,0.33,6,15,2000,800
189,650,0.8,0.33,0.47,5,16,2000,650
106,350,0.3,0.09,0.21,9,17,4000,1550
62,450,0.14,0.09,0.05,6,18,5000,2600
53,350,0.13,0.12,0.02,8,19,3000,1700
71,50,0.13,0.01,0.11,7,20,4000,1950
65,250,0.13,0.06,0.06,3,21,4000,2100
58,650,0.16,0.13,0.03,4,22,5000,2600
59,350,0.1,0.07,0.03,10,23,5000,2900
131,450,0.43,0.15,0.28,9,24,3000,1100
86,550,0.3,0.14,0.16,3,25,4000,1750
55,450,0.25,0.23,0.03,10,26,2000,1200
127,550,0.55,0.28,0.28,10,27,2000,550
113,950,0.7,0.47,0.23,7,28,2000,950
146,50,0.35,0.03,0.33,3,29,2000,800
72,850,0.33,0.21,0.11,5,30,4000,2050
81,350,0.23,0.09,0.14,10,31,4000,1950
52,850,0.18,0.17,0.01,3,32,5000,2800
98,250,0.24,0.05,0.19,1,33,5000,2000
56,950,0.5,0.47,0.03,8,35,2000,1900
67,650,0.3,0.22,0.08,10,36,3000,1700
99,50,0.2,0.01,0.19,3,37,5000,1900
95,450,0.3,0.11,0.19,9,38,4000,2200
57,350,0.2,0.17,0.03,10,41,2000,1000
96,50,0.2,0.01,0.19,4,42,4000,1700
73,250,0.17,0.06,0.11,5,43,4000,2050
142,950,0.63,0.32,0.32,8,44,3000,950
74,350,0.2,0.09,0.11,3,45,4000,1850
63,250,0.1,0.05,0.05,10,46,5000,3000
183,150,0.6,0.15,0.45,9,47,1000,150
60,250,0.08,0.05,0.03,4,48,5000,2900
156,350,0.7,0.35,0.35,7,49,1000,350
68,650,0.25,0.16,0.09,9,50,4000,1950
110,150,0.26,0.04,0.23,10,1,4000,1950
89,250,0.23,0.05,0.18,9,2,5000,2400
111,350,0.31,0.09,0.23,10,3,4000,1250
134,250,0.38,0.08,0.3,5,4,3000,1000
169,750,0.65,0.25,0.4,4,5,3000,750
181,450,0.68,0.23,0.45,2,7,2000,450
185,650,0.68,0.22,0.47,2,9,3000,650
54,150,0.05,0.03,0.02,1,10,5000,2750
159,950,0.68,0.32,0.37,6,11,3000,950
160,250,0.45,0.08,0.37,2,13,3000,1000
170,650,0.73,0.33,0.4,1,15,2000,650
135,250,0.36,0.06,0.3,3,17,4000,1200
82,350,0.21,0.07,0.14,8,18,5000,2150
80,450,0.28,0.15,0.13,10,19,3000,1350
76,250,0.19,0.06,0.13,4,20,4000,1900
77,450,0.24,0.11,0.13,7,21,4000,1850
84,50,0.17,0.01,0.16,7,22,5000,1950
69,950,0.29,0.19,0.1,3,23,5000,2550
179,650,0.65,0.22,0.43,10,24,3000,650
137,750,0.49,0.19,0.3,10,25,4000,1200
122,750,0.63,0.38,0.25,7,26,2000,750
153,750,0.73,0.38,0.35,10,29,2000,750
147,750,0.51,0.19,0.33,9,30,4000,1200
114,650,0.39,0.16,0.23,3,31,4000,1600
90,950,0.37,0.19,0.18,6,32,5000,1950
117,450,0.33,0.09,0.24,5,33,5000,1750
195,950,0.97,0.47,0.5,6,35,2000,950
138,150,0.35,0.05,0.3,9,36,3000,1050
100,750,0.35,0.15,0.2,9,37,5000,1850
139,250,0.36,0.06,0.3,9,38,4000,1750
101,650,0.53,0.33,0.2,1,41,2000,650
102,50,0.21,0.01,0.2,10,42,4000,1650
88,50,0.19,0.01,0.17,1,43,4000,1800
104,850,0.41,0.21,0.2,8,45,4000,1500
70,250,0.15,0.05,0.1,6,46,5000,2750
66,250,0.13,0.05,0.08,9,48,5000,2650
123,950,0.49,0.24,0.25,10,50,4000,1300
124,950,0.5,0.24,0.26,4,1,4000,1800
115,250,0.28,0.05,0.23,10,2,5000,2150
141,150,0.35,0.04,0.31,3,3,4000,900
167,750,0.63,0.25,0.38,4,4,3000,750
61,850,0.22,0.17,0.05,1,10,5000,2600
182,750,0.7,0.25,0.45,10,13,3000,750
157,950,0.6,0.24,0.36,3,17,4000,950
105,650,0.34,0.13,0.21,5,18,5000,1800
130,250,0.37,0.08,0.28,7,19,3000,900
94,250,0.25,0.06,0.19,9,20,4000,1650
116,50,0.25,0.01,0.24,8,21,4000,1400
87,750,0.32,0.15,0.17,6,22,5000,1900
132,50,0.3,0.01,0.29,4,23,5000,1600
192,450,0.6,0.11,0.49,6,25,4000,450
197,450,0.63,0.11,0.51,1,30,4000,450
168,950,0.63,0.24,0.39,2,31,4000,950
164,150,0.4,0.03,0.37,6,32,5000,1000
148,350,0.4,0.07,0.33,7,33,5000,1300
154,150,0.4,0.05,0.35,7,36,3000,900
155,350,0.42,0.07,0.35,1,37,5000,1100
158,650,0.53,0.16,0.36,7,38,4000,1500
107,850,0.43,0.21,0.21,7,42,4000,1600
97,50,0.2,0.01,0.19,3,43,4000,1750
174,650,0.57,0.16,0.41,3,45,4000,650
83,450,0.24,0.09,0.15,9,46,5000,2500
79,750,0.28,0.15,0.13,1,48,5000,2400
193,350,0.57,0.09,0.49,8,50,4000,350
194,850,0.71,0.21,0.5,1,1,4000,850
128,150,0.31,0.03,0.28,6,2,5000,1900
151,750,0.54,0.19,0.35,8,3,4000,750
109,750,0.37,0.15,0.22,10,10,5000,1750
150,150,0.37,0.03,0.34,6,18,5000,1150
161,650,0.58,0.22,0.37,8,19,3000,650
120,850,0.46,0.21,0.25,6,20,4000,1400
121,50,0.26,0.01,0.25,2,21,4000,1350
144,750,0.47,0.15,0.32,9,22,5000,1150
136,850,0.47,0.17,0.3,7,23,5000,1550
171,850,0.57,0.17,0.4,9,32,5000,850
172,950,0.59,0.19,0.4,7,33,5000,950
173,750,0.65,0.25,0.4,3,36,3000,750
176,750,0.57,0.15,0.42,1,37,5000,750
200,850,0.74,0.21,0.53,3,38,4000,850
177,750,0.61,0.19,0.43,9,42,4000,750
103,50,0.21,0.01,0.2,9,43,4000,1700
118,450,0.33,0.09,0.24,7,46,5000,2050
129,50,0.29,0.01,0.28,10,48,5000,1650
140,50,0.32,0.01,0.31,8,2,5000,1750
162,50,0.38,0.01,0.37,8,10,5000,1000
163,250,0.42,0.05,0.37,7,18,5000,1000
184,550,0.6,0.14,0.46,4,20,4000,550
125,350,0.35,0.09,0.26,7,21,4000,1300
186,250,0.52,0.05,0.47,8,22,5000,400
187,250,0.52,0.05,0.47,2,23,5000,700
108,850,0.43,0.21,0.21,4,43,4000,1650
149,750,0.48,0.15,0.33,7,46,5000,1600
133,950,0.48,0.19,0.29,4,48,5000,1600
143,950,0.51,0.19,0.32,5,2,5000,1700
166,950,0.57,0.19,0.38,3,10,5000,950
175,750,0.57,0.15,0.42,6,18,5000,750
152,950,0.59,0.24,0.35,8,21,4000,950
198,150,0.55,0.03,0.52,6,22,5000,150
199,450,0.61,0.09,0.52,7,23,5000,450
178,50,0.44,0.01,0.43,5,43,4000,800
190,850,0.65,0.17,0.48,5,46,5000,850
191,650,0.61,0.13,0.48,4,48,5000,650
196,750,0.66,0.15,0.51,8,2,5000,750
180,750,0.63,0.19,0.44,9,43,4000,750
